的	DE_0;DI_1;DI_4;DI_2;DI_0
决断力	JUE_2 DUAN_4 LI_4
决意	JUE_2 YI_4
决定信	JUE_2 DING_4 XIN_4
决出	JUE_2 CHU_1
决不会	JUE_2 BU_2 HUI_4
冲销	CHONG_1 XIAO_1
冲量	CHONG_1 LIANG_4
冲洗	CHONG_1 XI_3
冲泡	CHONG_1 PAO_4
冲服	CHONG_1 FU_2
冲散	CHONG_1 SAN_4
冲撞	CHONG_1 ZHUANG_4
冲开	CHONG_1 KAI_1
冲头	CHONG_1 TOU_2
冰魄	BING_1 PO_4
冰面	BING_1 MIAN_4
冰霜	BING_1 SHUANG_1
冰雪公主	BING_1 XUE_3 GONG_1 ZHU_3
冰雨	BING_1 YU_3
冰酒	BING_1 JIU_3
冰车	BING_1 CHE_1
冰蓝	BING_1 LAN_2
冰肌	BING_1 JI_1
冰糖葫芦	BING_1 TANG_2 HU_2 LU_2;BING_1 TANG_2 HU_2 LU_0
冰窖	BING_1 JIAO_4
冰瑶	BING_1 YAO_2
冰爪	BING_1 ZHUA_3
冰熊	BING_1 XIONG_2
冰灯	BING_1 DENG_1
冰消	BING_1 XIAO_1
冰洁	BING_1 JIE_2
冰毒	BING_1 DU_2
冰斗	BING_1 DOU_3
冰敷	BING_1 FU_1
冰情	BING_1 QING_2
冰层	BING_1 CENG_2
冰封	BING_1 FENG_1
冰块	BING_1 KUAI_4
冰场	BING_1 CHANG_3
冰儿	BING_1 ER_2
冰倩	BING_1 QIAN_4
冯雷	FENG_2 LEI_2
冯雪	FENG_2 XUE_3
冯玉	FENG_2 YU_4
冯德伦	FENG_2 DE_2 LUN_2
冯巩	FENG_2 GONG_3
冯小刚	FENG_2 XIAO_3 GANG_1
冯华	FENG_2 HUA_2
冬青	DONG_1 QING_1
冬训	DONG_1 XUN_4
冬虫	DONG_1 CHONG_2
冬眠	DONG_1 MIAN_2
冬病夏治	DONG_1 BING_4 XIA_4 ZHI_4
冬泳	DONG_1 YONG_3
冬月	DONG_1 YUE_4
冬暖	DONG_1 NUAN_3
冬明	DONG_1 MING_2
冬日	DONG_1 RI_4
冬山河	DONG_1 SHAN_1 HE_2
冬储	DONG_1 CHU_3
冬东	DONG_1 DONG_1
冥婚	MING_2 HUN_1
冠通	GUAN_4 TONG_1
冠状	GUAN_1 ZHUANG_4
冠希	GUAN_4 XI_1
冠山	GUAN_4 SHAN_1
冠宇	GUAN_4 YU_3
冠城	GUAN_4 CHENG_2
冠县	GUAN_4 XIAN_4
冠华	GUAN_4 HUA_2
冠中	GUAN_4 ZHONG_1
农运	NONG_2 YUN_4
农艺师	NONG_2 YI_4 SHI_1
农网	NONG_2 WANG_3
农科院	NONG_2 KE_1 YUAN_4
农电	NONG_2 DIAN_4
农田	NONG_2 TIAN_2
农牧	NONG_2 MU_4
农林牧业	NONG_2 LIN_2 MU_4 YE_4
农村经济	NONG_2 CUN_1 JING_1 JI_4
农机站	NONG_2 JI_1 ZHAN_4
农技员	NONG_2 JI_4 YUAN_2
农技	NONG_2 JI_4
农忙	NONG_2 MANG_2
农妇	NONG_2 FU_4
农夫	NONG_2 FU_1
农园	NONG_2 YUAN_2
农历三月	NONG_2 LI_4 SAN_1 YUE_4
农区	NONG_2 QU_1
农信	NONG_2 XIN_4
农作	NONG_2 ZUO_4
农业部门	NONG_2 YE_4 BU_4 MEN_2
农业部	NONG_2 YE_4 BU_4
农业局	NONG_2 YE_4 JU_2
农业企业	NONG_2 YE_4 QI_3 YE_4
农专	NONG_2 ZHUAN_1
军需	JUN_1 XU_1
军队医院	JUN_1 DUI_4 YI_1 YUAN_4
军长	JUN_1 ZHANG_3
军车	JUN_1 CHE_1
军路	JUN_1 LU_4
军衔	JUN_1 XIAN_2
军种	JUN_1 ZHONG_3
军犬	JUN_1 QUAN_3
军权	JUN_1 QUAN_2
军旅	JUN_1 LV_3
军才	JUN_1 CAI_2
军师	JUN_1 SHI_1;JUN_1 SHI_0
军团	JUN_1 TUAN_2
军博	JUN_1 BO_2
军华	JUN_1 HUA_2
军医	JUN_1 YI_1
军务	JUN_1 WU_4
军力	JUN_1 LI_4
军刀	JUN_1 DAO_1
军军	JUN_1 JUN_1
军事家	JUN_1 SHI_4 JIA_1;JUN_1 SHI_0 JIA_1
军事学院	JUN_1 SHI_4 XUE_2 YUAN_4
军事学	JUN_1 SHI_4 XUE_2
写实	XIE_3 SHI_2
写字板	XIE_3 ZI_4 BAN_3
写作能力	XIE_3 ZUO_4 NENG_2 LI_4
冗	RONG_3
冒领	MAO_4 LING_3
冒进	MAO_4 JIN_4
冒认	MAO_4 REN_4
冒菜	MAO_4 CAI_4
冒牌货	MAO_4 PAI_2 HUO_4
冒号	MAO_4 HAO_4
再赌	ZAI_4 DU_3
再见过去	ZAI_4 JIAN_4 GUO_4 QU_4
再见一面	ZAI_4 JIAN_4 YI_2 MIAN_4
再荣	ZAI_4 RONG_2
再献	ZAI_4 XIAN_4
再爆	ZAI_4 BAO_4
再春	ZAI_4 CHUN_1
再摇	ZAI_4 YAO_2
再挤	ZAI_4 JI_3
再拜	ZAI_4 BAI_4
再度	ZAI_4 DU_4
再启动	ZAI_4 QI_3 DONG_4
再勇	ZAI_4 YONG_3
再加之	ZAI_4 JIA_1 ZHI_1
再制	ZAI_4 ZHI_4
再伟	ZAI_4 WEI_3
冉明	RAN_3 MING_2
内马	NEI_4 MA_3
内饰件	NEI_4 SHI_4 JIAN_4
内面	NEI_4 MIAN_4
内附	NEI_4 FU_4
内链	NEI_4 LIAN_4
内部网	NEI_4 BU_4 WANG_3
内部类	NEI_4 BU_4 LEI_4
内部程序	NEI_4 BU_4 CHENG_2 XU_4
内部控制	NEI_4 BU_4 KONG_4 ZHI_4
内迁	NEI_4 QIAN_1
内调	NEI_4 TIAO_2
内设	NEI_4 SHE_4
内训	NEI_4 XUN_4
内衣店	NEI_4 YI_1 DIAN_4
内膜	NEI_4 MO_2
内眼角	NEI_4 YAN_2 JIAO_3
内环	NEI_4 HUAN_2
内特	NEI_4 TE_4
内景	NEI_4 JING_3
内文	NEI_4 WEN_2
内政	NEI_4 ZHENG_4
内控	NEI_4 KONG_4
内扣	NEI_4 KOU_4
内情	NEI_4 QING_2
内当	NEI_4 DANG_1
内封	NEI_4 FENG_1
内容运营	NEI_4 RONG_2 YUN_4 YING_2
内室	NEI_4 SHI_4
内实	NEI_4 SHI_2
内壁	NEI_4 BI_4
内增高	NEI_4 ZENG_1 GAO_1
内墙	NEI_4 QIANG_2
内地人	NEI_4 DI_4 REN_2
内圈	NEI_4 QUAN_1
内功	NEI_4 GONG_1
内分泌失调	NEI_4 FEN_1 MI_4 SHI_1 TIAO_2
内修	NEI_4 XIU_1
内主	NEI_4 ZHU_3
内丹	NEI_4 DAN_1
内丘	NEI_4 QIU_1
冀中	JI_4 ZHONG_1
兽首	SHOU_4 SHOU_3
兽妃	SHOU_4 FEI_1
兽人	SHOU_4 REN_2
兼谈	JIAN_1 TAN_2
兼职网	JIAN_1 ZHI_2 WANG_3
兼职全职	JIAN_1 ZHI_2 QUAN_2 ZHI_2
兼而有之	JIAN_1 ER_2 YOU_3 ZHI_1
兼爱	JIAN_1 AI_4
兼收	JIAN_1 SHOU_1
兼备	JIAN_1 BEI_4
兼优	JIAN_1 YOU_1
养鸡	YANG_3 JI_1
养鳗	YANG_3 MAN_2
养血	YANG_3 XUE_4
养虾	YANG_3 XIA_1
养草	YANG_3 CAO_3
养老基金	YANG_2 LAO_3 JI_1 JIN_1
养精蓄锐	YANG_3 JING_1 XU_4 RUI_4
养禽	YANG_3 QIN_2
养生之道	YANG_3 SHENG_1 ZHI_1 DAO_4
养猪场	YANG_3 ZHU_1 CHANG_3
养牛	YANG_3 NIU_2
养气	YANG_3 QI_4
养殖业	YANG_3 ZHI_2 YE_4
养条狗	YANG_3 TIAO_2 GOU_3
养宠	YANG_3 CHONG_3
养媳妇	YANG_3 XI_2 FU_4
养娃	YANG_3 WA_2
养壶	YANG_3 HU_2
养兔	YANG_3 TU_4
典籍	DIAN_3 JI_2
典当行	DIAN_3 DANG_4 HANG_2
具结	JU_4 JIE_2
具备条件	JU_4 BEI_4 TIAO_2 JIAN_4
其人	QI_2 REN_2
兵马俑博物馆	BING_1 MA_3 YONG_3 BO_2 WU_4 GUAN_3
兵马俑	BING_1 MA_2 YONG_3;BING_1 MA_3 YONG_3
兵荒马乱	BING_1 HUANG_1 MA_3 LUAN_4
兵法	BING_1 FA_3
兵征	BING_1 ZHENG_1
兵工厂	BING_1 GONG_1 CHANG_3
兵工	BING_1 GONG_1
兵家	BING_1 JIA_1
兵力	BING_1 LI_4
兵兵	BING_1 BING_1
兵人	BING_1 REN_2
兴龙	XING_1 LONG_2
兴长	XING_1 CHANG_2
兴镇	XING_4 ZHEN_4
兴福	XING_1 FU_2
兴盛	XING_1 SHENG_4
兴济	XING_1 JI_3
兴波	XING_1 BO_1
兴昌	XING_1 CHANG_1
兴德	XING_1 DE_2
兴庆	XING_1 QING_4
兴平	XING_1 PING_2
兴宏	XING_1 HONG_2
兴宇	XING_1 YU_3
兴奋性	XING_1 FEN_4 XING_4
兴头	XING_4 TOU_0
兴大	XING_1 DA_4
兴唐	XING_1 TANG_2
兴和	XING_1 HE_2
兴发	XING_1 FA_1
兴农	XING_1 NONG_2
兴会	XING_4 HUI_4
兴中	XING_1 ZHONG_1
关鹏	GUAN_1 PENG_2
关静	GUAN_1 JING_4
关隘	GUAN_1 AI_4
关键步骤	GUAN_1 JIAN_4 BU_4 ZHOU_4
关键期	GUAN_1 JIAN_4 QI_1
关键时刻	GUAN_1 JIAN_4 SHI_2 KE_4
关键因素	GUAN_1 JIAN_4 YIN_1 SU_4
关里	GUAN_1 LI_3
关节炎	GUAN_1 JIE_2 YAN_2
关联方	GUAN_1 LIAN_2 FANG_1
关联性	GUAN_1 LIAN_2 XING_4
关白	GUAN_1 BAI_2
关爱明天	GUAN_1 AI_4 MING_2 TIAN_1
关注明星	GUAN_1 ZHU_4 MING_2 XING_1
关注时政	GUAN_1 ZHU_4 SHI_2 ZHENG_4
关注新闻	GUAN_1 ZHU_4 XIN_1 WEN_2
关注政治	GUAN_1 ZHU_4 ZHENG_4 ZHI_4
关死	GUAN_1 SI_3
关林	GUAN_1 LIN_2
关本	GUAN_1 BEN_3
关明	GUAN_1 MING_2
关断	GUAN_1 DUAN_4
关文	GUAN_1 WEN_2
关念	GUAN_1 NIAN_4
关庙	GUAN_1 MIAO_4
关帝庙	GUAN_1 DI_4 MIAO_4
关岛	GUAN_1 DAO_3
关宇	GUAN_1 YU_3
关头	GUAN_1 TOU_2
关卡	GUAN_1 QIA_3
关务	GUAN_1 WU_4
关兴	GUAN_1 XING_4
关停	GUAN_1 TING_2
关保	GUAN_1 BAO_3
关于软件	GUAN_1 YU_2 RUAN_3 JIAN_4
关于自由	GUAN_1 YU_2 ZI_4 YOU_2
关于女人	GUAN_1 YU_2 NV_3 REN_2
关中	GUAN_1 ZHONG_1
共面	GONG_4 MIAN_4
共青城	GONG_4 QING_1 CHENG_2
共话	GONG_4 HUA_4
共舞	GONG_4 WU_3
共生	GONG_4 SHENG_1
共情	GONG_4 QING_2
共总	GONG_4 ZONG_3
共工	GONG_4 GONG_1
共好	GONG_4 HAO_3
共处	GONG_4 CHU_3
共同富裕	GONG_4 TONG_2 FU_4 YU_4
共创	GONG_4 CHUANG_4
共产党员	GONG_4 CHAN_2 DANG_3 YUAN_2;GONG_4 CHAN_3 DANG_3 YUAN_2
共产党人	GONG_4 CHAN_2 DANG_3 REN_2;GONG_4 CHAN_3 DANG_3 REN_2
兰苑	LAN_2 YUAN_4
兰真	LAN_2 ZHEN_1
兰海	LAN_2 HAI_3
兰格	LAN_2 GE_2
兰林	LAN_2 LIN_2
兰明	LAN_2 MING_2
兰新	LAN_2 XIN_1
兰心	LAN_2 XIN_1
兰度	LAN_2 DU_4
兰平	LAN_2 PING_2
兰干	LAN_2 GAN_4
兰学	LAN_2 XUE_2
兰子	LAN_2 ZI_3
兰婷	LAN_2 TING_2
兰娟	LAN_2 JUAN_1
兰圃	LAN_2 PU_3
兰县	LAN_2 XIAN_4
兰卡	LAN_2 KA_3
兰博基尼	LAN_2 BO_2 JI_1 NI_2
兰博	LAN_2 BO_2
兰刚	LAN_2 GANG_1
兰亭	LAN_2 TING_2
兰交	LAN_2 JIAO_1
兮	XI_1
六马	LIU_4 MA_3
六项	LIU_4 XIANG_4
六陈	LIU_4 CHEN_2
六镇	LIU_4 ZHEN_4
六里桥	LIU_4 LI_3 QIAO_2
六连	LIU_4 LIAN_2
六米	LIU_4 MI_3
六福	LIU_4 FU_2
六礼	LIU_4 LI_3
六百四十	LIU_4 BAI_3 SI_4 SHI_2
六王	LIU_4 WANG_2
六沟	LIU_4 GOU_1
六根	LIU_4 GEN_1
六文	LIU_4 WEN_2
六房	LIU_4 FANG_2
六情	LIU_4 QING_2
六库	LIU_4 KU_4
六塘	LIU_4 TANG_2
六哲	LIU_4 ZHE_2
六代	LIU_4 DAI_4
六亲	LIU_4 QIN_1
公路桥	GONG_1 LU_4 QIAO_2
公路局	GONG_1 LU_4 JU_2
公诸于众	GONG_1 ZHU_1 YU_2 ZHONG_4
公装	GONG_1 ZHUANG_1
公行	GONG_1 XING_2
公署	GONG_1 SHU_3
公约	GONG_1 YUE_1
公移	GONG_1 YI_2
公理	GONG_1 LI_3
公物	GONG_1 WU_4
公牛	GONG_1 NIU_2
公演	GONG_1 YAN_3
公清	GONG_1 QING_1
公比	GONG_1 BI_3
公正廉洁	GONG_1 ZHENG_4 LIAN_2 JIE_2
公权	GONG_1 QUAN_2
公服	GONG_1 FU_2
公文包	GONG_1 WEN_2 BAO_1
公愤	GONG_1 FEN_4
公开赛	GONG_1 KAI_1 SAI_4
公库	GONG_1 KU_4
公平竞争	GONG_1 PING_2 JING_4 ZHENG_1
公布栏	GONG_1 BU_4 LAN_2
公寓楼	GONG_1 YU_4 LOU_2
公安部队	GONG_1 AN_1 BU_4 DUI_4
公头	GONG_1 TOU_2
公大	GONG_1 DA_4
公园一号	GONG_1 YUAN_2 YI_1 HAO_4
公司金融	GONG_1 SI_1 JIN_1 RONG_2
公司规章制度	GONG_1 SI_1 GUI_1 ZHANG_1 ZHI_4 DU_4
公司破产	GONG_1 SI_1 PO_4 CHAN_3
公台	GONG_1 TAI_2
公务机	GONG_1 WU_4 JI_1
公办大学	GONG_1 BAN_4 DA_4 XUE_2
公力	GONG_1 LI_4
公兴	GONG_1 XING_1
公共管理	GONG_1 GONG_4 GUAN_2 LI_3
公共厕所	GONG_1 GONG_4 CE_4 SUO_3
公共关系	GONG_1 GONG_4 GUAN_1 XI_4
公元	GONG_1 YUAN_2
公信力	GONG_1 XIN_4 LI_4
公估	GONG_1 GU_1
公交司机	GONG_1 JIAO_1 SI_1 JI_1
公事	GONG_1 SHI_4
公举	GONG_1 JU_3
公主裙	GONG_1 ZHU_3 QUN_2
八面玲珑	BA_1 MIAN_4 LING_2 LONG_2
八重	BA_1 CHONG_2
八里桥	BA_1 LI_3 QIAO_2
八部	BA_1 BU_4
八达	BA_1 DA_2
八角街	BA_1 JIAO_3 JIE_1
八街	BA_1 JIE_1
八股文	BA_1 GU_3 WEN_2
八股	BA_1 GU_3
八美	BA_1 MEI_3
八百伴	BA_1 BAI_3 BAN_4
八棵树	BA_1 KE_1 SHU_4
八格	BA_1 GE_2
八月十七	BA_1 YUE_4 SHI_2 QI_1
八户	BA_1 HU_4
八座	BA_1 ZUO_4
八带	BA_1 DAI_4
八局	BA_1 JU_2
八家子	BA_1 JIA_1 ZI_3
八宝茶	BA_1 BAO_3 CHA_2
八宝山	BA_1 BAO_3 SHAN_1
八字没一撇	BA_1 ZI_4 MEI_2 YI_4 PIE_3
八婆	BA_1 PO_2
八大关	BA_1 DA_4 GUAN_1
八十中	BA_1 SHI_2 ZHONG_1
八八八	BA_1 BA_1 BA_1
八仙筒	BA_1 XIAN_1 TONG_3
八仙洞	BA_1 XIAN_1 DONG_4
八二三	BA_1 ER_4 SAN_1
八三夭	BA_1 SAN_1 YAO_1
全高清	QUAN_2 GAO_1 QING_1
全食	QUAN_2 SHI_2
全院	QUAN_2 YUAN_4
全镇	QUAN_2 ZHEN_4
全部摊	QUAN_2 BU_4 TAN_1
全部列	QUAN_2 BU_4 LIE_4
全部内容	QUAN_2 BU_4 NEI_4 RONG_2
全速	QUAN_2 SU_4
全通	QUAN_2 TONG_1
全进	QUAN_2 JIN_4
全身而退	QUAN_2 SHEN_1 ER_2 TUI_4
全身性	QUAN_2 SHEN_1 XING_4
全英文	QUAN_2 YING_1 WEN_2
全自动	QUAN_2 ZI_4 DONG_4
全美	QUAN_2 MEI_3
全羊	QUAN_2 YANG_2
全简	QUAN_2 JIAN_3
全等	QUAN_2 DENG_3
全社	QUAN_2 SHE_4
全盟	QUAN_2 MENG_2
全盘托出	QUAN_2 PAN_2 TUO_1 CHU_1
全留	QUAN_2 LIU_2
全生	QUAN_2 SHENG_1
全球通	QUAN_2 QIU_2 TONG_1
全球贸易	QUAN_2 QIU_2 MAO_4 YI_4
全球性	QUAN_2 QIU_2 XING_4
全民企业	QUAN_2 MIN_2 QI_3 YE_4
全欧	QUAN_2 OU_1
全案	QUAN_2 AN_4
全村人	QUAN_2 CUN_1 REN_2
全村	QUAN_2 CUN_1
全权代表	QUAN_2 QUAN_2 DAI_4 BIAO_3
全明星赛	QUAN_2 MING_2 XING_1 SAI_4
全数	QUAN_2 SHU_4
全接触	QUAN_2 JIE_1 CHU_4
全意	QUAN_2 YI_4
全总	QUAN_2 ZONG_3
全年收入	QUAN_2 NIAN_2 SHOU_1 RU_4
全山	QUAN_2 SHAN_1
全屋定制	QUAN_2 WU_1 DING_4 ZHI_4
全局	QUAN_2 JU_2
全小	QUAN_2 XIAO_3
全国妇联	QUAN_2 GUO_2 FU_4 LIAN_2
全华	QUAN_2 HUA_2
全勤奖	QUAN_2 QIN_2 JIANG_3
全力支持	QUAN_2 LI_4 ZHI_1 CHI_2
全军	QUAN_2 JUN_1
全免	QUAN_2 MIAN_3
全光	QUAN_2 GUANG_1
全人类	QUAN_2 REN_2 LEI_4
全亮	QUAN_2 LIANG_4
全东	QUAN_2 DONG_1
全三	QUAN_2 SAN_1
入魔	RU_4 MO_2
入骨	RU_4 GU_3
入驻	RU_4 ZHU_4
入院	RU_4 YUAN_4
入迷	RU_4 MI_2
入货	RU_4 HUO_4
入眠	RU_4 MIAN_2
入画	RU_4 HUA_4
入江	RU_4 JIANG_1
入水	RU_4 SHUI_3
入殓	RU_4 LIAN_4
入村	RU_4 CUN_1
入微	RU_4 WEI_1
入帐	RU_4 ZHANG_4
入山	RU_4 SHAN_1
入夜	RU_4 YE_4
入夏	RU_4 XIA_4
入声	RU_4 SHENG_1
入团	RU_4 TUAN_2
入伍	RU_4 WU_3
党风	DANG_3 FENG_1
党项	DANG_3 XIANG_4
党纪	DANG_3 JI_4
党章	DANG_3 ZHANG_1
兔虎	TU_4 HU_3
兔兔	TU_4 TU_4
兑付	DUI_4 FU_4
免验	MIAN_3 YAN_4
免进	MIAN_3 JIN_4
免费网	MIAN_3 FEI_4 WANG_3
免费注册	MIAN_3 FEI_4 ZHU_4 CE_4
免责期	MIAN_3 ZE_2 QI_1
免票	MIAN_3 PIAO_4
免礼	MIAN_3 LI_3
免疫治疗	MIAN_3 YI_4 ZHI_4 LIAO_2
免烧	MIAN_3 SHAO_1
免杀	MIAN_3 SHA_1
免服	WEN_4 FU_2
免密码	MIAN_3 MI_4 MA_3
免受	MIAN_3 SHOU_4
免交	MIAN_3 JIAO_1
克非	KE_4 FEI_1
克郎	KE_4 LANG_2
克莱克	KE_4 LAI_2 KE_4
克莉丝汀	KE_4 LI_4 SI_1 TING_1
克来	KE_4 LAI_2
克星	KE_4 XING_1
克斯	KE_4 SI_1
克平	KE_4 PING_2
克姆	KE_4 MU_3
克力	KE_4 LI_4
克俭	KE_4 JIAN_3
克什	KE_4 SHI_2
克东	KE_4 DONG_1
光阴似箭	GUANG_1 YIN_1 SI_4 JIAN_4
光阴	GUANG_1 YIN_1
光阁	GUANG_1 GE_2
光通量	GUANG_1 TONG_1 LIANG_4
光送	GUANG_1 SONG_4
光身	GUANG_1 SHEN_1
光路	GUANG_1 LU_4
光表	GUANG_1 BIAO_3
光美	GUANG_1 MEI_3
光网	GUANG_1 WANG_3
光绪	GUANG_1 XU_4
光管	GUANG_1 GUAN_3
光磊	GUANG_1 LEI_3
光生	GUANG_1 SHENG_1
光猫	GUANG_1 MAO_1
光溜溜	GUANG_1 LIU_1 LIU_1
光溜	GUANG_1 LIU_1;GUANG_1 LIU_0
光源	GUANG_1 YUAN_2
光浩	GUANG_1 HAO_4
光济	GUANG_1 JI_4
光泽	GUANG_1 ZE_2
光棍汉	GUANG_1 GUN_4 HAN_4
光柱	GUANG_1 ZHU_4
光机	GUANG_1 JI_1
光明桥	GUANG_1 MING_2 QIAO_2
光敏	GUANG_1 MIN_3
光度	GUANG_1 DU_4
光年	GUANG_1 NIAN_2
光山县	GUANG_1 SHAN_1 XIAN_4
光孝	GUANG_1 XIAO_4
光子	GUANG_1 ZI_3
光地	GUANG_1 DI_4
光圈	GUANG_1 QUAN_1
光喜	GUANG_1 XI_3
光剑	GUANG_1 JIAN_4
光刻机	GUANG_1 KE_4 JI_1
光全	GUANG_1 QUAN_2
光伏	GUANG_1 FU_2
光亚	GUANG_1 YA_4
先道	XIAN_1 DAO_4
先进性	XIAN_1 JIN_4 XING_4
先进个人	XIAN_1 JIN_4 GE_4 REN_2
先辈	XIAN_1 BEI_4
先贤	XIAN_1 XIAN_2
先蚕	XIAN_1 CAN_2
先纳	XIAN_1 NA_4
先端	XIAN_1 DUAN_1
先福	XIAN_1 FU_2
先知先觉	XIAN_1 ZHI_1 XIAN_1 JUE_2
先皇	XIAN_1 HUANG_2
先猜	XIAN_1 CAI_1
先父	XIAN_1 FU_4
先灵	XIAN_1 LING_2
先海	XIAN_1 HAI_3
先母	XIAN_1 MU_3
先朝	XIAN_1 CHAO_2
先斩后奏	XIAN_1 ZHAN_3 HOU_4 ZOU_4
先文	XIAN_1 WEN_2
先捡	XIAN_1 JIAN_3
先抱	XIAN_1 BAO_4
先心病	XIAN_1 XIN_1 BING_4
先延	XIAN_1 YAN_2
先师	XIAN_1 SHI_1
先宏	XIAN_1 HONG_2
先国	XIAN_1 GUO_2
先列	XIAN_1 LIE_4
先农	XIAN_1 NONG_2
先兆流产	XIAN_1 ZHAO_4 LIU_2 CHAN_3
先兆	XIAN_1 ZHAO_4
先上车后补票	XIAN_1 SHANG_4 CHE_1 HOU_4 BU_3 PIAO_4
兆荣	ZHAO_4 RONG_2
兆祥	ZHAO_4 XIANG_2
兆方	ZHAO_4 FANG_1
兆帕	ZHAO_4 PA_4
兆安	ZHAO_4 AN_1
兆学	ZHAO_4 XUE_2
兆和	ZHAO_4 HE_2
兆位	ZHAO_4 WEI_4
兆丰	ZHAO_4 FENG_1
充盈	CHONG_1 YING_2
充电站	CHONG_1 DIAN_4 ZHAN_4
充电桩	CHONG_1 DIAN_4 ZHUANG_1
充电学习	CHONG_1 DIAN_4 XUE_2 XI_2
充满爱	CHONG_1 MAN_3 AI_4
充分考虑	CHONG_1 FEN_4 KAO_3 LV_4
充值优惠	CHONG_1 ZHI_2 YOU_1 HUI_4
兄弟玩	XIONG_1 DI_4 WAN_2
兄弟会	XIONG_1 DI_4 HUI_4
兄友弟恭	XIONG_1 YOU_3 DI_4 GONG_1
元通	YUAN_2 TONG_1
元符	YUAN_2 FU_2
元直	YUAN_2 ZHI_2
元珍	YUAN_2 ZHEN_1
元清	YUAN_2 QING_1
元洪	YUAN_2 HONG_2
元来	YUAN_2 LAI_2
元本	YUAN_2 BEN_3
元朗	YUAN_2 LANG_3
元服	YUAN_2 FU_2
元方	YUAN_2 FANG_1
元才	YUAN_2 CAI_2
元年	YUAN_2 NIAN_2
元平	YUAN_2 PING_2
元宵	YUAN_2 XIAO_1
元女	YUAN_2 NV_3
元培	YUAN_2 PEI_2
元和	YUAN_2 HE_2
元君	YUAN_2 JUN_1
元件库	YUAN_2 JIAN_4 KU_4
儿童票	ER_2 TONG_2 PIAO_4
儿科医生	ER_2 KE_1 YI_1 SHENG_1
儿孙自有儿孙福	ER_2 SUN_1 ZI_4 YOU_3 ER_2 SUN_1 FU_2
儒生	RU_2 SHENG_1
儒术	RU_2 SHU_4
儒学	RU_2 XUE_2
僵住	JIANG_1 ZHU_4
僧多粥少	SENG_1 DUO_1 ZHOU_1 SHAO_3
像距	XIANG_4 JU_4
像貌	XIANG_4 MAO_4
像胶	XIANG_4 JIAO_1
像框	XIANG_4 KUANG_4
像元	XIANG_4 YUAN_2
傻货	SHA_3 HUO_4
傻眼	SHA_2 YAN_3;SHA_3 YAN_3
傻大姐	SHA_3 DA_4 JIE_3
傻吊	SHA_3 DIAO_4
傻丫头	SHA_3 YA_1 TOU_0
傲天	AO_4 TIAN_1
催熟	CUI_1 SHU_2
催情	CUI_1 QING_2
催命	CUI_1 MING_4
储量	CHU_3 LIANG_4
储藏室	CHU_3 CANG_2 SHI_4
储藏	CHU_3 CANG_2
傍边	BANG_4 BIAN_1
偿命	CHANG_2 MING_4
偿债	CHANG_2 ZHAI_4
偿付	CHANG_2 FU_4
偷鸡摸狗	TOU_1 JI_1 MO_1 GOU_3
偷闲	TOU_1 XIAN_2
偷运	TOU_1 YUN_4
偷跑	TOU_1 PAO_3
偷空	TOU_1 KONG_4
偷着乐	TOU_1 ZHE_0 LE_4
偷渡	TOU_1 DU_4
偷欢	TOU_1 HUAN_1
偷情	TOU_1 QING_2
偷工减料	TOU_1 GONG_1 JIAN_3 LIAO_4
偷学	TOU_1 XUE_2
偷回	TOU_1 HUI_2
偶犯	OU_3 FAN_4
偶数	OU_3 SHU_4
偶或	OU_3 HUO_4
偶尔抽抽	OU_3 ER_3 CHOU_1 CHOU_1
偶尔幼稚	OU_3 ER_3 YOU_4 ZHI_4
偶尔健身	OU_3 ER_3 JIAN_4 SHEN_1
偶尔做饭	OU_3 ER_3 ZUO_4 FAN_4
健身美容	JIAN_4 SHEN_1 MEI_3 RONG_2
健身球	JIAN_4 SHEN_1 QIU_2
健身狂	JIAN_4 SHEN_1 KUANG_2
健身法	JIAN_4 SHEN_1 FA_3
健身服	JIAN_4 SHEN_1 FU_2
健身学院	JIAN_4 SHEN_1 XUE_2 YUAN_4
健身器械	JIAN_4 SHEN_1 QI_4 XIE_4
健身减肥	JIAN_4 SHEN_1 JIAN_3 FEI_2
健身健美	JIAN_4 SHEN_1 JIAN_4 MEI_3
健豪	JIAN_4 HAO_2
健脾	JIAN_4 PI_2
健生	JIAN_4 SHENG_1
健旺	JIAN_4 WANG_4
健康素养	JIAN_4 KANG_1 SU_4 YANG_3
健康科技	JIAN_4 KANG_1 KE_1 JI_4
健康睡眠	JIAN_4 KANG_1 SHUI_4 MIAN_2
健康快乐	JIAN_4 KANG_1 KUAI_4 LE_4
健康心理	JIAN_4 KANG_1 XIN_1 LI_3
健康安全	JIAN_4 KANG_1 AN_1 QUAN_2
健康品	JIAN_4 KANG_1 PIN_3
健康保养	JIAN_4 KANG_1 BAO_3 YANG_3
健平	JIAN_4 PING_2
停驶	TING_2 SHI_3
停飞	TING_2 FEI_1
停运	TING_2 YUN_4
停薪	TING_2 XIN_1
停考	TING_2 KAO_3
停美	TING_2 MEI_3
停租	TING_2 ZU_1
停火	TING_2 HUO_3
停泊	TING_2 BO_2
停歇	TING_2 XIE_1
停建	TING_2 JIAN_4
停发	TING_2 FA_1
停住	TING_2 ZHU_4
做饭饭	ZUO_4 FAN_4 FAN_4
做零工	ZUO_4 LING_2 GONG_1
